size,path
0,AI
0,AI/Data_Mining
0,AI/Machine_Learning
0,AI/Computer_Vision
0,AI/Natural_Language_Processing
0,AI/Robotics
0,AI/Information_Retrieval
0,AI/Human_computer_Interaction
0,AI/Data_Mining/Anomaly_Detection
0,AI/Machine_Learning/Anomaly_Detection1
0,AI/Data_Mining/Association_Rule_Learning
0,AI/Machine_Learning/Association_Rule_Learning1
0,AI/Data_Mining/Clustering
0,AI/Data_Mining/Classification
0,AI/Data_Mining/Regression
0,AI/Data_Mining/Summarization
0,AI/Data_Mining/Embedding
0,AI/Data_Mining/Dimensionality_Reduction
0,AI/Data_Mining/Embedding/Network_Embedding
0,AI/Data_Mining/Embedding/Node_Representation_Learning
0,AI/Machine_Learning/Supervised_Learning
0,AI/Machine_Learning/Unsupervised_Learning
0,AI/Machine_Learning/Semi-Supervised_Learning
0,AI/Machine_Learning/Reinforcement_Learning
0,AI/Machine_Learning/Self_Learning
0,AI/Machine_Learning/Anomaly_Detection
0,AI/Machine_Learning/Association_Rule_Learning
0,AI/Machine_Learning/Clustering
0,AI/Machine_Learning/Classification
0,AI/Machine_Learning/Regression
0,AI/Machine_Learning/Embedding
0,AI/Machine_Learning/Artificial_Neural_Networks
0,AI/Machine_Learning/Decision_Trees
0,AI/Machine_Learning/Support_Vector_Machines
0,AI/Machine_Learning/Regression_Analysis
0,AI/Machine_Learning/Bayesian_Networks
0,AI/Machine_Learning/Genetic_Algorithms
0,AI/Data_Mining/Embedding/Network_Embedding/Graph_Neural_Networks
0,AI/Data_Mining/Embedding/Network_Embedding/Spectral_Embedding